patient_id	ATM	ATR	BAX	BBC3	CCND1	CCND2	CCND3	CDK4	CDK6	CDKN1A	CDKN1B	CDKN2A	CHEK1	CHEK2	E2F1	MDM2	MDM4	PMAIP1	RB1	TP53
TCGA-FF-A7CW	0.3124441952601685	0.2787333582253843	0.2253686572143635	0.3360386393571948	0.2196135743960205	0.4498309873852842	0.15522943751278945	0.4036671247524124	0.6442122402363405	0.3874839088416651	0.29344184440024346	0.7793860555388192	0.34357542319238127	0.37640631493651666	0.4031256261203601	0.283550512600299	0.8408254420771424	0.20691691807229592	0.30543166469278665	0.24395191978760325
TCGA-FF-A7CX	0.1792142743331098	0.2814658187793623	0.36972400789787635	0.38152820442814545	0.21164988728016085	0.26696289749686103	0.3086717723130173	0.24483192872721332	0.18606601347747803	0.40040263305951024	0.14287471200078392	0.39620576323478557	0.3011822945412508	0.35363469349151233	0.39449238123834807	0.2371759648932815	0.5912923451176229	0.19515703763036515	0.07213090052323042	0.11939917932975802
TCGA-FM-8000	0.2970932727675228	0.38403870777420857	0.18941790646727089	0.36936143927223336	0.25458667598132045	0.2732394565558381	0.4222162906971064	0.23248058230703358	0.6946351165652763	0.4283406939977331	0.3258110736808795	0.2830717817637924	0.3721265264350976	0.15799670589007106	0.27417707135951985	0.38361536104477406	0.6791382352752837	0.4135886951288971	0.3923666759882917	0.2833139284136952
TCGA-G8-6324	0.7209196271265204	0.4024568926597812	0.1751828064753722	0.22657073488669965	0.3464675952532414	0.535989069167597	0.3975515760341763	0.18587559197670767	0.11723401152430964	0.3404109291149054	0.11798966812064685	0.3475644605585572	0.8316751036583938	0.29769496972446435	0.19261015773741846	0.2714121895715306	0.2255573999080504	0.3310542741508258	0.35401850997706985	0.38645106857912565
TCGA-G8-6325	0.3807496548475287	0.4174280837144589	0.1197557942202383	0.12529818470724274	0.48962152075625964	0.317745838084526	0.7300905853854661	0.3706083853838566	0.39330405302906835	0.010008189807526588	0.3660054691894028	0.691751179229189	0.4106832359580846	0.28761688972851424	0.2865930984465309	0.35025552497295503	0.5408603523219603	0.7849943233129395	0.40199520801451327	0.28869756328317964
TCGA-G8-6326	0.35891075212986895	0.4085884526974079	0.19555260715250314	0.29047550781974196	0.524553213596642	0.400832394508212	0.2748297296477388	0.17646670609601645	0.1936409790459939	0.10087603430886681	0.20487581024770066	0.37062123825079046	0.4327997985875172	0.38720786702186905	0.21060795158747742	0.22404898326679787	0.18569364910904146	0.41094102909574565	0.406889663532935	0.42291052050879946
TCGA-G8-6906	0.3402327763630903	0.36877679578813355	0.20229237931873817	0.23063660255370128	0.2755705705603712	0.27388276489149244	0.3105054288181777	0.29447093288021964	0.32052465207736486	0.3179011982300293	0.31981658170031874	0.7924554091588505	0.36315093601187837	0.28751324826481334	0.28184973681720765	0.21998155794433483	0.22011524081761036	0.35670741339419465	0.35200140661120743	0.33032050288743736
TCGA-G8-6907	0.34731928265623807	0.43370606823582053	0.035268329409591924	0.0010374777235774549	0.20410664640247636	0.2832601061947651	0.4322002826285232	0.19179195261286874	0.1992411136538338	0.28656680963112113	0.30916945054315287	0.32840614751896596	0.40880282806332785	0.2553981332920559	0.18579188444821446	0.5289773484738687	0.24917555770722055	0.34670322128060344	0.8125001000744678	0.19357410899986507
TCGA-G8-6909	0.3676564510449438	0.44265146756637846	0.20461648482368397	0.3549007638863962	0.29499804702696486	0.27990098595533247	0.2852327155622658	0.3623842263263949	0.2541649177285131	0.1498616328725921	0.314131707296596	0.07868181170319404	0.3053679703477335	0.2741090208073719	0.36544683135696254	0.23254156766741857	0.157110389790536	0.3647543212556487	0.3900796400356732	0.429368373961033
TCGA-G8-6914	0.37220579305726853	0.37704850777197574	0.2641434318895585	0.2064018448821835	0.3607703211440707	0.28504519599625416	0.3563956465761659	0.30115675930233843	0.2768260107848684	0.2951051183509565	0.3253727987862522	0.2728933691339805	0.2948372132045548	0.22051628994164887	0.3777141735017165	0.23977831177970826	0.591954376680517	0.2994981556666241	0.35472090654807403	0.3642663438010775
TCGA-GR-7351	0.36686012649259087	0.4077173121006874	0.07266289128507067	0.07699071524081726	0.28861083232926227	0.27234756501098106	0.27145498303196913	0.46744857098445414	0.4705393436745182	0.18193075228229544	0.39012029499692163	0.2979595457128339	0.28570005858186187	0.3507639083842653	0.4414972919932888	0.2548755813248541	0.18253230413512128	0.36830801258194046	0.3251209802050227	0.22072211015127144
TCGA-GR-7353	0.3536360591286042	0.41888621007779153	0.22548837476988015	0.24618209007415356	0.24200947642171158	0.29784165248520794	0.353684471282839	0.22918160379407623	0.9911196578509776	0.30283017643275884	0.3125038377276454	0.2828925996169141	0.2875214087823735	0.8167620772932997	0.25595914124479907	0.1870772002458704	0.7140428494810878	0.3628018261686577	0.41547507136166595	0.30720004789792715
TCGA-GR-A4D4	0.1965516928236571	0.1777410978172002	0.8050895358072032	0.8158770083954479	0.31261963615008115	0.30698088720423117	0.1677105318791117	0.21434096548007583	0.6377891665880556	0.3868090639837754	0.7055088070956701	0.2768499855330208	0.2953413638362834	0.24241299943259936	0.4801507626956375	0.21665588503482672	0.36346187445048844	0.31369903202358024	0.6757710087943508	0.8508255332647598
TCGA-GR-A4D5	0.23330429648795756	0.26848874063350475	0.32026909588499924	0.24620571623340054	0.75321503348832	0.7557307526879187	0.3798536050639888	0.7159742674808991	0.2780857137335377	0.6784196828139477	0.2067547931100404	0.37919485317822393	0.22082938639957744	0.13126849569282983	0.2612157645721029	0.8518847291038167	0.317626618762886	0.36205133888212576	0.2507040499134979	0.18125058755813872
TCGA-GR-A4D6	0.32985109033903687	0.40509303420591125	0.19481426026548818	0.29674865038328696	0.24606761698339635	0.30404396672714096	0.35964779983174605	0.3082293293024785	0.6638738322417734	0.3775918749299911	0.713087755392952	0.7398816327339365	0.3612052962583612	0.24091572475154158	0.42532629307310915	0.2523070980922831	0.7496827258604752	0.33836158946458306	0.3951694825604477	0.18004624865674812
TCGA-GR-A4D9	0.22682055306508406	0.1450341623883974	0.3582958402345975	0.30445517021893787	0.6663423895522482	0.27392684955281715	0.2534019827694221	0.21874205530875487	0.5278599837713547	0.34976396241747226	0.19132685510337122	0.6946140359789471	0.125885313558429	0.39305233164042336	0.2527952702973391	0.39783404148606943	0.8336898068303246	0.24551182155804818	0.0593221222496818	0.2259085193610793
TCGA-GS-A9TQ	0.201595292710363	0.6805240526168252	0.33619851468180456	0.36193496421672566	0.5947228549502257	0.27006954816649853	0.7182359206282434	0.24802801532954327	0.7591395209237932	0.4034993677561719	0.3528224402496339	0.7934691782794973	0.18183001655399936	0.1176431563402873	0.31139631579883525	0.5668987054425535	0.8161480493411827	0.1860238282352815	0.12934213623706975	0.48616755314910864
TCGA-GS-A9TT	0.30290672723247714	0.1921449858391506	0.34688098649809	0.15782280846183852	0.21091021305428478	0.5900867538804687	0.1484129089136118	0.8299449488060722	0.42834926805749585	0.319193595780033	0.21045643232228933	0.5636581339191447	0.1735588577877697	0.39587650216841513	0.37104402456028784	0.8229338471499001	0.3419507524909156	0.10475507560539891	0.04417577205759154	0.12727637359403307
TCGA-GS-A9TU	0.16614910695787363	0.1761335159899492	0.3255969098490639	0.2171182377971487	0.42138656555711884	0.4691233190582325	0.16844704360362292	0.13735852370138713	0.8884885078544326	0.25545268642440144	0.16161409455734957	0.7921119952483873	0.3747324810016324	0.4255962136817102	0.2524451330859391	0.36174068744922866	0.41787157557162197	1.3612478381415974e-09	0.16044841162409548	0.3286550805422407
TCGA-GS-A9TV	0.1357710062612993	0.14660533909503584	0.3666277375467405	0.33038306329686995	0.5472459727971736	0.45753441662518124	0.26185286976382605	0.2311902894550767	0.3798960488600461	0.1439431310340511	0.16769922450070715	0.30444238265714224	0.35650538720961816	0.3964170898753163	0.2883951402286366	0.2555909919314675	0.3605803066718872	0.3005018443333759	0.23413478808371074	0.2680990318819011
TCGA-GS-A9TW	0.7172853924864883	0.2743061929099458	0.3048745396447627	0.32171521903304695	0.4468371542212918	0.38075774736869694	0.7853036399655782	0.2988432406976615	0.3053648834347237	0.06160511576956427	0.35856980523802107	0.23803124726879238	0.2490579209634059	0.43266562695691857	0.3098537312744298	0.2933319483774251	0.27607031078931926	0.08708570290278546	0.2916052221638343	0.6927999521020728
TCGA-GS-A9TX	0.03926745036300052	0.1446944213761638	0.3829909507988287	0.3965815435798989	0.2878628521157419	0.4016490059027857	0.3435127368672178	0.5565287490618811	0.8969272988843481	0.4127696928689815	0.13132376123754919	0.29144357612665295	0.4007162980198946	0.4160411920134061	0.20479142503126932	0.8062727135910881	0.486583533193558	0.3425077079429013	0.10390701355459292	0.8046083124735697
TCGA-GS-A9TY	0.37676228588319693	0.8575335519325404	0.2595039076929854	0.303251349616713	0.24827182680384072	0.6647765720958139	0.6160641352039116	0.8501373207723084	0.7193553584589127	0.37653028065256666	0.8188779986768658	0.2768022864867122	0.17327100935747633	0.3926818247389458	0.8097987870750094	0.5715982991293911	0.61400858234623	0.8154851405843146	0.7849361894195492	0.5965416603575437
TCGA-GS-A9TZ	0.18023631327062326	0.7000754768643591	0.3428514939958227	0.30426777979048075	0.42112349097166496	0.7634506128655334	0.2949229027031231	0.538156131909592	0.3421815492288724	0.11426734148100713	0.16799660954610804	0.3515555334898509	0.3464561899681223	0.4240760883479495	0.20514594743031436	0.7861231110692632	0.2508090647730863	0.07418543505646273	0.6781743382152938	0.71401035491623
TCGA-GS-A9U3	0.21088456685004367	0.11837498316983869	0.35561114569732116	0.29501204822882904	0.4071846729479317	0.42719596837078894	0.15509360775928313	0.17861231367327715	0.24655287374233795	0.26600283304162803	0.16047514362639448	0.7711212226871809	0.3907198018628582	0.3858071051459003	0.18610447961649426	0.3066680516225749	0.8322243534056175	0.3006185168566046	0.2192177996552278	0.3334796443579387
TCGA-GS-A9U4	0.28553253237800963	0.25908523586788473	0.23542118244229368	0.29016096985309436	0.9727050670378489	0.5969446469641346	0.23319108727968393	0.1652925435196871	0.5109330595900319	0.40002017288996544	0.17316844603833217	0.37126048591249955	0.23640771992827544	0.4288517797193894	0.6312713500800391	0.5869761875223698	0.25628158970132175	0.09779252005932128	0.2662641808698385	0.40338007049621666
TCGA-RQ-A68N	0.2942152029864376	0.29992452313564094	0.2587235388444617	0.13608110551653843	0.8048482569161598	0.40225302598426743	0.24891136179735496	0.9467447883097414	0.21281398885675853	0.26313220001644355	0.7240268827631485	0.7864473549212112	0.21184051838358098	0.2557862350127949	0.5542552671070914	0.7229425971976824	0.30414187525277414	0.28807930757438105	0.3512724323752624	0.6072900627446474
TCGA-RQ-A6JB	0.21660667201310385	0.29606624672575904	0.3337113076268511	0.3499539213740474	0.30991111359631685	0.28078182276398356	0.36343488482606195	0.18032432835457674	0.16736091279496162	0.34354741028298075	0.2813545903203488	0.7933992156715957	0.3359383016314239	0.2997080068037904	0.2183375514421728	0.2829072993800211	0.33267746983753677	0.322161807945015	0.32198322767364435	0.15806948729911383
TCGA-RQ-AAAT	0.3638240893208419	0.8143370765072159	0.7850153585333853	0.33968148042068186	0.6178031337356689	0.6721323586082606	0.4478973498067216	0.7392120862495719	0.9885778263623981	0.398454708841329	0.35648449152309797	0.17248712532663613	0.18379379210057692	0.30029199319620964	0.569910588370541	0.5824357112183192	0.2082344037093896	0.3870519559026879	0.7924335144915977	0.8268746482751113
TCGA-VB-A8QN	0.33602362667519897	0.39171860351572013	0.2974688516687766	0.19779021679902506	0.44310377926183775	0.281356332602424	0.20568079664519923	0.3041348051253709	0.3158967124791235	0.23255652047887646	0.2946836068263186	0.14524565490475916	0.043258824803040226	0.2951081205060348	0.2563736295508257	0.27277852692824783	0.7052187867520371	0.21303597769148716	0.7243875721082896	0.32669138186141206
